year,oecd_provider_code,provider,agency_name,oecd_agency_code,oecd_recipient_code,recipient,flow_code,flow_name,sector_code,sector_name,purpose_code,purpose_name,project_title,crs_id,project_id,description,type_of_finance,level,modality,flow_type,source,currency,prices,Adaptation,Cross-cutting,Mitigation,Not climate relevant
2020,1,Austria,Austrian Development Agency,8,289,"South of Sahara, regional",11,ODA Grants,410,IV.1. General Environment Protection,41010,Environmental policy and administrative management,Strengthening Coordination and Implementation of the Great Green Wall Initiative (UNCCD/GGWI),2020500018,2518-00/2020,"The long-term objective of the project is to improve integrated transboundary land restoration, ecosystem protection, and natural resource management under the Great Green Wall Initiative (GGWI). The Project aims to enhance the GGWI stakeholders'  capacities to better prepare, monitor and manage projects according to high standards, produce, manage, report high quality data, and encourage new investors and donors to contribute to a new generation of GGWI projects.",110,1,B03,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,1139601.0,1139601.0,1139601.0,
2020,5,Germany,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung,1,285,Uganda,11,ODA Grants,112,I.1.b. Basic Education,11220,Primary education,"Improvement of the education situation in Lwamaggwa (District Rakai, Uganda)",2020007702,202006005-4920,"Improvement of the education situation in Lwamaggwa (District Rakai, Uganda)",110,0,B01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,,64444.0
2020,5,Germany,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",9,241,Ghana,11,ODA Grants,140,I.4. Water Supply & Sanitation,14081,Education and training in water supply and sanitation,German Ghanaian Water Week (GGWW),2020012924,16EXI2375A,"The German-Ghanaian Water Week (GGWW) is a training programme geared towards building the capacity of water stakeholders in the private, and public sector in Ghana in efficient and eco-friendly water management practices as well as innovative water technologies.",110,1,D02,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,8019.999999999999,
2020,5,Germany,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",9,9998,"Bilateral, unspecified",11,ODA Grants,312,III.1.b. Forestry,31210,Forestry policy and administrative management,The Paris Agreement in action - upscaling forest and landscape restoration to achieve nationally determined contributions,2020013232,18_III_094_Global_M_Large Scale FLR Init,"As recognised in the Paris Agreement, forest-based options are critical to achieving NDCs through combined mitigation and adaptation approaches. The effective implementation of the Bonn Challenge in several regional initiatives represents an opportunity to expand FLR efforts and contribute to several NDCs. In three regions with high potential for forest stand increase and provision of ecosystem services through large-scale FLR programmes, countries are part of the project concept - The Pacific Islands (Philippines + Fiji), the Great Green Wall Region (Ethiopia + Niger) and the Mediterranean (Lebanon and Morocco). To implement the NDC commitments, the project supports - (i) regional platforms focusing on knowledge sharing, capacity development, mobilisation of innovative funding and FLR monitoring, and (ii) the implementation of existing national FLR action plans / programmes and monitoring.",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,1770145.0,1770145.0,1770145.0,
2020,6,Italy,Local administration,8,238,Ethiopia,11,ODA Grants,312,III.1.b. Forestry,31220,Forestry development,Reforestation in the Village of Abono Gebriel (Ethiopia),2020085028,D87D20000020009,The project is part of the transnational cooperation framework  Great Green Wall : Africa's flagship initiative to combat climate change and desertification and address food insecurity and poverty.,110,2,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,,,27305.0,
2020,10,Sweden,Swedish International Development Authority,6,287,Burkina Faso,11,ODA Grants,311,III.1.a. Agriculture,31120,Agricultural development,Beog-Puuto family farming Burkina Faso,2018067710A,SE-0-SE-6-11406A0101-BFA-31120,"The project Beog-Puuto aims at restoring eroded abandoned farmland, increasing productivity in family farms and strengthened resilience of 50,000 vulnerable households in dry areas in northern and eastern Burkina Faso. The impact is expected to be increased productivity in family farms through a positiv systems change, stronger resilience of vulnerable households to climate change, higher income, improved situation for women and strengthened incentives to young men to refuse militant extremism.The non-governmental organization SOS Sahel International France has applied for 198 million SEK for the period 15 December 2018 - 31 December 2023 to carry out the project in cooperation with SOS Sahel International Burkina Faso, the small NGO Terre Verte and the programme the Great Green Wall  (La Grande Muraille Verte) of the Ministry of the Environment in Burkina Faso. Cooperation is also planned with the Ministry of Agriculture, 30 rural municipalities and a number of local organizations. The validity of the agreement between Sida and SOSSIF will expire on 30 September 2024.The project aims to (i) recover eroded farmland and increase productivity for groups of about 30-60 family farmers who have decided to merge their small farm plots into larger units of 100-150 hectares, and to (ii) sustainably improve the soil status and increase productivity in family farms through a broad application of traditional water & soil conservation techniques. The soil & water conservation technique Zaï will be implemented at a large scale.Collective production units will be created thrugh small water das for rice production and vegetable and fruit gardens. Value chains will be supported, particularly for female farmers and entrepreneurs. Women has a key role in agriculture in Burkina Faso and gender equality will therefore be prioritised in the project.",110,2,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,1142555.0,,,
2020,10,Sweden,Swedish International Development Authority,6,287,Burkina Faso,11,ODA Grants,311,III.1.a. Agriculture,31120,Agricultural development,Beog-Puuto family farming Burkina Faso - Beog-Puuto family farming Burkina Faso studies,2018067709A,SE-0-SE-6-11406A0102-BFA-31120,"The project Beog-Puuto aims at restoring eroded abandoned farmland, increasing productivity in family farms and strengthened resilience of 50,000 vulnerable households in dry areas in northern and eastern Burkina Faso. The impact is expected to be increased productivity in family farms through a positiv systems change, stronger resilience of vulnerable households to climate change, higher income, improved situation for women and strengthened incentives to young men to refuse militant extremism.The non-governmental organization SOS Sahel International France has applied for 198 million SEK for the period 15 December 2018 - 31 December 2023 to carry out the project in cooperation with SOS Sahel International Burkina Faso, the small NGO Terre Verte and the programme the Great Green Wall  (La Grande Muraille Verte) of the Ministry of the Environment in Burkina Faso. Cooperation is also planned with the Ministry of Agriculture, 30 rural municipalities and a number of local organizations. The validity of the agreement between Sida and SOSSIF will expire on 30 September 2024.The project aims to (i) recover eroded farmland and increase productivity for groups of about 30-60 family farmers who have decided to merge their small farm plots into larger units of 100-150 hectares, and to (ii) sustainably improve the soil status and increase productivity in family farms through a broad application of traditional water & soil conservation techniques. The soil & water conservation technique Zaï will be implemented at a large scale.Collective production units will be created thrugh small water das for rice production and vegetable and fruit gardens. Value chains will be supported, particularly for female farmers and entrepreneurs. Women has a key role in agriculture in Burkina Faso and gender equality will therefore be prioritised in the project.",110,2,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,17590.0,,,
2020,10,Sweden,Swedish International Development Authority,6,9998,"Bilateral, unspecified",11,ODA Grants,250,II.5. Business & Other Services,25030,Business development services,DCED Trust Fund 070481 Membership July 1st 2018 - 30th June 2021,2018066318AA,SE-0-SE-6-12714A0101-GGG-25030,"The purpose of the intervention is to: 1) Enable Sida's membership in the DCED, in order for Sida to contribute to and benefit from the DCED activities, in terms of exchange of experiences, knowledge and methods development, support for policy development and operationalisation as well as donor coordination within private sector development (PSD), and2) enable continued and expanded activites within the membership-based thematic working groups, with a particular focus on the approach for market systems development (MSD), to the benefit of Sida, other donor members and practitioners (implementing organisations) within development cooperation.DCED is a donor committeee - a donor coordination group and knowledge hub - representing some 20 bilateral and multilateral development actors working to promote PSD within development cooperation. The aim is to increase knowledge about the broad thematic area PSD and contribute to harmonisation between actors, and thereby contribute to increase efficiency within development cooperation. DCED was established in 1979 and formalised in 2006. Sida has been engaged in the DCED several decades and an official member since 2004. Other member donors include for example ADA, Danida, DFID, FAO, ILO, ITC, MasterCard Foundation, Norad, SDC, USAID, the world Bank. The members meet and collaborarate in currently six active thematic working groups:* Business Environment Working Group (BEWG),* Green Growth Working Group (GGWG),* Market Systems Development Working Group (MSDWG),* Private Sector Engagement Working Group (PSEWG),* Results Measurement Working Group (RMWG) and* Women's Economic Empowerment (WEEWG).Through its representation in all working groups and its focal point for DCED Sida is a very active member of the DCED. The DCED is assessed to be a strategic and useful platform for Sida to be active in, and to generate added value through knowledge exchange, methods development, networking and collaboration.Given Sida's positive experience of the DCED, not least during recent years, which clearly demonstrates Sida's ability to influence, collaborate with and benefit from the DCED, Sida intends to remain an active member of the DCED - in individual working groups as well as at a general level through its focal point for coordination of the collaboration. From 2018/19 Sida returns to three-year decisions about DCED membership, in accordance with its initial agreement with the IFC. This is motivated by the very well established relationship and cooperation with the DCED on several levels, Sida's positive experiences, strong engagement and clear benefit from the membership, plus the highly relevant work of the DCED and BEAM Exchange for Sida, in particular for the members of the Network for Employment and Market Development. It ought to be noted that within Sida the demand for knowledge and methods development and support on MSD is strong and articulated, and an interal process of institutionalising the MSD approach withi",110,1,B03,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,180896.0,180896.0,180896.0,
2021,5,Germany,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",9,9998,"Bilateral, unspecified",11,ODA Grants,312,III.1.b. Forestry,31210,Forestry policy and administrative management,The Paris Agreement in action: upscaling forest and landscape restoration to achieve nationally determined contributions,2021010272,18III094,"As recognised in the Paris Agreement, forest-based options are critical to achieving NDCs through combined mitigation and adaptation approaches. The effective implementation of the Bonn Challenge in several regional initiatives represents an opportunity to expand FLR efforts and contribute to several NDCs. In three regions with high potential for forest stand increase and provision of ecosystem services through large-scale FLR programmes, countries are part of the project concept: The Pacific Islands (Philippines + Fiji), the Great Green Wall Region (Ethiopia + Niger) and the Mediterranean (Lebanon and Morocco). To implement the NDC commitments, the project supports: (i) regional platforms focusing on knowledge sharing, capacity development, mobilisation of innovative funding and FLR monitoring, and (ii) the implementation of existing national FLR action plans / programmes and monitoring.",110,1,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,1418911.0,1418911.0,1418911.0,
2021,10,Sweden,Swedish International Development Authority,6,287,Burkina Faso,11,ODA Grants,311,III.1.a. Agriculture,31120,Agricultural development,Beog-Puuto  Farms of the future  Burkina Faso 2018-2023 - Beog-Puuto family farming Burkina Faso,2018067710A,SE-0-SE-6-11406A0101-BFA-31120,"The project  Beog-Puuto  (Farms of the future) aims at restoring eroded abandoned farmland, increasing productivity in family farms and strengthen resilience of 50,000 vulnerable households in dry areas in northern and eastern Burkina Faso. The impact is expected to be increased productivity in family farms through a positive system change, stronger resilience of vulnerable households to climate change, higher income, improved situation for women and strengthened incentives to young men to refuse violent extremism.The non-governmental organization SOS Sahel International France manages 198 million SEK Swedish funds for the period 15 December 2018 - 31 December 2023 to carry out the project in cooperation with SOS Sahel International Burkina Faso, the small NGO Terre Verte and the programme the Great Green Wall  (La Grande Muraille Verte) of the Ministry of the Environment in Burkina Faso. Cooperation is also on-going with the Ministry of Agriculture, 30 rural municipalities and a number of local organizations. The project aims to (i) recover eroded farmland and increase productivity for groups of about 30-60 family farmers who have decided to merge their small farm plots into larger a unit of 100-150 hectares, and to (ii) sustainably improve the soil status and increase productivity in family farms through agroecological methods, a broad application of traditional water & soil conservation techniques combined with an initial ploughing and techniques for managing rainwater, composting etc. The soil & water conservation technique Zaï is implemented systematically.Collective production units are created through small water dams for rice production and vegetable and fruit gardens. Value chains are supported, particularly for female farmers and entrepreneurs. Women has a key role in agriculture in Burkina Faso and gender equality is prioritised in the project. The validity of the agreement between Sida and SOSSIF will expire on 30 September 2024.",110,2,C01,usd_disbursement,OECD_CRS_ALLOCABLE,USD,current,4985109.0,,,
